2015-09-23 10:44:02,861 [13] INFO  Umbraco.Core.CoreBootManager - [P5860/T32/D3] Umbraco 7.2.8 application starting on HAL9000
2015-09-23 10:44:03,063 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Determining hash of code files on disk
2015-09-23 10:44:03,090 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Hash determined (took 22ms)
2015-09-23 10:44:03,121 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-09-23 10:44:03,876 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 38 (took 765ms)
2015-09-23 10:44:04,242 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-09-23 10:44:04,252 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 9ms)
2015-09-23 10:44:04,253 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-09-23 10:44:04,267 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 13ms)
2015-09-23 10:44:04,320 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-09-23 10:44:04,326 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 5ms)
2015-09-23 10:44:04,328 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-09-23 10:44:04,334 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 36 (took 7ms)
2015-09-23 10:44:04,461 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-09-23 10:44:04,468 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 7ms)
2015-09-23 10:44:04,469 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-09-23 10:44:04,474 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 5ms)
2015-09-23 10:44:07,572 [13] INFO  Umbraco.Core.DatabaseContext - [P5860/T32/D3] CanConnect = True
2015-09-23 10:44:07,594 [13] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - [P5860/T32/D3] Initializing Umbraco internal event handlers for cache refreshing
2015-09-23 10:44:07,697 [13] INFO  Umbraco.Web.Search.ExamineEvents - [P5860/T32/D3] Initializing Examine and binding to business logic events
2015-09-23 10:44:07,904 [13] INFO  Umbraco.Web.Search.ExamineEvents - [P5860/T32/D3] Adding examine event handlers for index providers: 3
2015-09-23 10:44:07,957 [13] INFO  Umbraco.Core.CoreBootManager - [P5860/T32/D3] Umbraco application startup complete (took 5106ms)
2015-09-23 10:44:08,597 [13] INFO  Umbraco.Core.ApplicationContext - [P5860/T32/D3] ApplicationUrl: http://localhost:80/umbraco (UmbracoModule request)
2015-09-23 10:44:14,346 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-09-23 10:44:14,386 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 40ms)
2015-09-23 10:44:17,764 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-09-23 10:44:17,775 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 10ms)
2015-09-23 10:44:17,939 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of umbraco.interfaces.ITree
2015-09-23 10:44:17,942 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of umbraco.interfaces.ITree, found 35 (took 9ms)
2015-09-23 10:44:18,101 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-09-23 10:44:18,102 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 0ms)
2015-09-23 10:44:18,108 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of umbraco.interfaces.ITree
2015-09-23 10:44:18,163 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of umbraco.interfaces.ITree, found 19 (took 58ms)
2015-09-23 10:44:18,231 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of umbraco.interfaces.IApplication
2015-09-23 10:44:18,246 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 15ms)
2015-09-23 10:44:19,504 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-09-23 10:44:19,512 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 8ms)
2015-09-23 10:45:06,583 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-09-23 10:45:06,584 [13] INFO  Umbraco.Core.PluginManager - [P5860/T32/D3] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 0ms)
2015-09-23 10:45:12,464 [13] INFO  umbraco.BusinessLogic.Log - [P5860/T32/D3] Log scrubbed.  Removed all items older than 2015-07-25 10:45:12
2015-09-23 10:45:12,631 [13] INFO  umbraco.content - [P5860/T32/D3] Load Xml from file...
2015-09-23 10:45:12,635 [13] INFO  umbraco.content - [P5860/T32/D3] Loaded Xml from file.
